SK_ID_CURR,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,WEEKDAY_APPR_PROCESS_START,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,DAYS_CREDIT,CREDIT_DAY_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,PREDICT
100011,0,0,112500.0,1019610.0,33826.5,913500.0,0.018634,-20099,365243,-7427.0,-3514,,2.0,2,2,14,0,0,0,0,0,0,0.5873340468730377,0.20574728800732814,0.7517237147741489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,1,4,1,1,6,0,0,0,1,0,0,-2508.0,0.0,0.0,90744.3,0.04174504078536088
100023,0,1,90000.0,544491.0,17563.5,454500.0,0.015221,-11348,-2038,-1021.0,-3964,,2.0,2,2,12,0,0,0,0,0,0,,0.5866171400119664,0.4776491548517548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1850.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,1,6,2,1,3,1,1,0,1,1,1,1,0,-2624.0,0.0,0.0,22500.0,0.21292815554809486
100078,0,0,180000.0,1035000.0,43983.0,1035000.0,0.028663,-19550,-4856,-6836.0,-3084,21.0,2.0,2,2,9,0,0,0,0,0,0,0.7961611232881004,0.5172704004425673,0.4294236843421945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1594.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,1,6,2,1,1,1,5,0,1,0,1,0,0,-1308.0,0.0,0.0,292500.0,0.04653027446232877
100142,0,1,360000.0,579195.0,27994.5,468000.0,0.018801,-13379,-5387,-6869.0,-4540,7.0,3.0,2,2,11,0,0,0,0,1,1,,0.0648582778736916,0.3092753558842053,0.0918,0.0,0.9836,,,0.0,0.2069,0.1667,,0.0,,0.0788,,0.0308,0.0935,0.0,0.9836,,,0.0,0.2069,0.1667,,0.0,,0.0821,,0.0326,0.0926,0.0,0.9836,,,0.0,0.2069,0.1667,,0.0,,0.0802,,0.0314,0.0686,2.0,0.0,1.0,0.0,-1759.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,5,2,1,0,1,0,0,1,0,1,0,0,-2454.0,0.0,0.0,49747.5,0.06953181784900342
100176,0,0,135000.0,1078200.0,31653.0,900000.0,0.010006,-17682,-4319,-2630.0,-1211,,2.0,2,2,6,0,0,0,0,0,0,,0.5852908069048889,0.816092360478441,0.0701,0.0533,0.996,0.9456,0.018000000000000002,0.08,0.069,0.3333,0.375,0.0096,0.0555,0.07,0.0077,0.0164,0.0714,0.0553,0.996,0.9477,0.0182,0.0806,0.069,0.3333,0.375,0.0098,0.0606,0.0729,0.0078,0.0174,0.0708,0.0533,0.996,0.9463,0.0181,0.08,0.069,0.3333,0.375,0.0098,0.0564,0.0713,0.0078,0.0168,0.0685,1.0,0.0,1.0,0.0,-131.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,6,4,4,1,1,6,0,1,0,1,1,0,-2423.0,0.0,0.0,200655.0,0.029075918991432727
100492,0,3,450000.0,716161.5,57550.5,634500.0,0.006629,-12662,-892,-6586.0,-1849,,4.0,2,2,5,0,0,0,0,0,0,0.6475614991167691,0.6258165762682069,0.3077366963789207,0.0818,0.0,0.9901,0.8368,,0.08,0.0917,0.3054,,0.0146,,0.1,,0.0123,0.0315,0.0,0.9881,0.8432,,0.0403,0.1034,0.3333,,0.0127,,0.0726,,0.0,0.1062,0.0,0.9886,0.8390000000000001,,0.08,0.1034,0.3333,,0.0149,,0.0998,,0.0,0.0548,4.0,0.0,4.0,0.0,-554.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,1,6,2,1,2,1,4,0,1,0,1,0,0,-533.0,0.0,0.0,432000.0,0.055946110914203595
100515,0,0,157500.0,1032093.0,43857.0,922500.0,0.031329,-17668,-900,-1890.0,-1200,,2.0,2,2,17,0,0,0,0,0,0,,0.5874918332121367,0.6397075677637197,0.0722,0.0623,0.9906,0.8708,0.0156,0.08,0.069,0.3333,0.375,0.0966,0.0588,0.0767,0.0,0.0,0.0735,0.0646,0.9906,0.8759,0.0157,0.0806,0.069,0.3333,0.375,0.0988,0.0643,0.0799,0.0,0.0,0.0729,0.0623,0.9906,0.8725,0.0157,0.08,0.069,0.3333,0.375,0.0983,0.0599,0.0781,0.0,0.0,0.0688,0.0,0.0,0.0,0.0,-1059.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,1,6,0,4,1,1,0,0,1,0,1,1,0,-776.0,0.0,0.0,4500.0,0.0388918939059517
100528,0,1,90000.0,675000.0,19867.5,675000.0,0.020246,-14608,-4624,-514.0,-6085,,3.0,3,3,6,0,0,0,0,1,1,,0.5277560830566873,0.5726825047161584,0.0082,,,0.7008,0.0014,,,0.0417,,,,0.0063,,,0.0084,,,0.7125,0.0014,,,0.0417,,,,0.0066,,,0.0083,,,0.7048,0.0014,,,0.0417,,,,0.0064,,,0.0057,1.0,0.0,1.0,0.0,-1218.0,0.0,0.0,0.0,0.0,1.0,4.0,0,0,1,6,4,4,1,1,0,0,1,0,1,0,0,-1591.0,0.0,0.0,23796.0,0.07462815742082614
100570,0,0,180000.0,1395000.0,36927.0,1395000.0,0.028663,-13162,-215,-7286.0,-4794,5.0,2.0,2,2,15,0,0,0,0,0,0,,0.5695462383736847,0.6212263380626669,0.1495,0.0934,0.9876,0.83,0.0314,0.16,0.1379,0.3333,0.375,0.0772,0.121,0.1551,0.0039,0.0006,0.1523,0.0969,0.9876,0.8367,0.0317,0.1611,0.1379,0.3333,0.375,0.0789,0.1322,0.1616,0.0039,0.0007,0.1509,0.0934,0.9876,0.8323,0.0316,0.16,0.1379,0.3333,0.375,0.0785,0.1231,0.1579,0.0039,0.0006,0.1393,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,6,0,4,1,1,6,0,1,0,1,0,0,-1477.0,0.0,0.0,51507.0,0.031112417340137415
100574,0,0,225000.0,1125000.0,60070.5,1125000.0,0.026392,-18280,-241,-12213.0,-1817,4.0,2.0,2,2,14,0,0,0,0,0,0,,0.7174550590987756,0.8128226070575616,0.1485,0.1115,0.9806,,,0.16,0.1379,0.3333,,,,0.1585,,0.0,0.1513,0.1157,0.9806,,,0.1611,0.1379,0.3333,,,,0.1651,,0.0,0.1499,0.1115,0.9806,,,0.16,0.1379,0.3333,,,,0.1613,,0.0,0.1468,2.0,0.0,2.0,0.0,-1417.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,6,0,1,1,1,5,0,1,1,1,0,0,-1779.0,0.0,0.0,1305000.0,0.049494643704017995
